,movie_title,genres,runtime_minutes,director_name,director_deathYear
107,The Meg,"Action,Horror,Sci-Fi",113.0,Jon Turteltaub,2
108,Edge of Tomorrow,"Action,Adventure,Sci-Fi",113.0,Doug Liman,2
109,Captain Marvel,"Action,Adventure,Sci-Fi",123.0,-,0
110,The Jungle Book,"Adventure,Drama,Family",106.0,Jon Favreau,2
111,Inside Out,"Adventure,Animation,Comedy",95.0,-,0
112,Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",133.0,Jon Watts,2
113,Suicide Squad,"Action,Adventure,Fantasy",123.0,David Ayer,2
114,Up,"Adventure,Animation,Comedy",96.0,-,0
115,Coco,"Adventure,Animation,Comedy",105.0,-,0
116,Coco,Horror,98.0,Neil Boultby,2
117,Monsters vs. Aliens,"Action,Adventure,Animation",94.0,-,0
118,Cars 3,"Adventure,Animation,Comedy",102.0,Brian Fee,2
119,G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi",118.0,Stephen Sommers,2
120,Wild Wild West,"Action,Comedy,Sci-Fi",106.0,Barry Sonnenfeld,2
121,The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy",112.0,Rob Cohen,2
122,Evan Almighty,"Comedy,Family,Fantasy",96.0,Tom Shadyac,2
123,Waterworld,"Action,Adventure,Sci-Fi",135.0,Kevin Reynolds,2
124,Dolittle,"Adventure,Comedy,Family",101.0,Stephen Gaghan,2
125,King Arthur: Legend of the Sword,"Action,Adventure,Drama",126.0,Guy Ritchie,2
126,47 Ronin,"Action,Drama,Fantasy",128.0,Carl Rinsch,2
127,Top Gun: Maverick,"Action,Drama",130.0,Joseph Kosinski,2
128,Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",128.0,J.A. Bayona,2
129,Guardians of the Galaxy,"Action,Adventure,Comedy",121.0,James Gunn,2
130,Iron Man 2,"Action,Sci-Fi",124.0,Jon Favreau,2
131,Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",136.0,-,0
